 NO,BULAN,TGL BAGI WO,NAMA PELANGGAN,STO,KETERANGAN,MITRA, SEGMEN,PAKET,AREA
1,MEI,14/05/2024,Rumah Dinas Kabid TIK Polda Lampung,KDT,a. PS,STN,DBS,50MBPS,INNER
2,MEI,19/05/2024,TOKO ADAM,TJK,a. PS,KPU,DBS,100MBPS,INNER
3,MEI,08/05/2024,Polda Lampung,TJK,a. PS,GTM,DBS,50MBPS,INNER
4,MEI,09/05/2024,PT SINAR MUSI JAYA,SRW,KENDALA BUTUH PT2NS/PT3,STN,DBS,50MBPS,INNER
5,MEI,14/05/2024,SMAN 1 SIMPANG PEMATANG,UNT,a. PS,TA,DBS,200MBPS,METRO
6,MEI,15/05/2024,RSU HERMINA LAMPUNG,TJK,a. PS,KPU,DBS,50MBPS,INNER
7,MEI,17/05/2024,TOKO TASYA,TJK,e. CANCEL,KPU,DBS,50MBPS,INNER
8,MEI,11/05/2024,Less Catino Lampung,KDT,KENDALA BUTUH PT2NS/PT3,STN,DBS,50MBPS,INNER
9,MEI,10/05/2024,PT LAMITEL,KDT,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,INNER
10,MEI,20/05/2024,DAPOER JUKUNG,TJK,a. PS,KPU,DBS,50MBPS,INNER
11,MEI,09/05/2024,PT PEMBAYARAN BERSAMA SEJAHTERA  ,GDT,a. PS,BTO,DBS,100MBPS,PRINGSEWU
12,MEI,08/05/2024,BASTA BILLIARD  ,GDT,a. PS,BTO,DBS,100MBPS,PRINGSEWU
4,MEI,10/05/2024,TOKO ADI JAYA,MGA,a. PS,TA,DBS,50MBPS,METRO
5,MEI,20/05/2024,PT BINTANG SUMATERA EXPRESS  ,UNT,a. PS,BTO,DBS,50MBPS,METRO
5,MEI,10/05/2024,INDO SABLON,MGA,a. PS,BTO,DBS,100MBPS,METRO
6,MEI,13/05/2024,SMAN 1 BANDAR SRIBHAWONO,LAM,a. PS,BTO,DBS,300MBPS,METRO
7,MEI,13/05/2024,SMA NEGERI 1 TANJUNG RAYA,MGA,a. PS,TA,DBS,200MBPS,METRO
8,MEI,13/05/2024,GEREJA KATOLIK METRO,MET,a. PS,GTM,DBS,150MBPS,METRO
9,MEI,14/05/2024,SMK NEGERI 1 BANJAR MARGO,UNT,a. PS,TA,DBS,150MBPS,METRO
10,MEI,14/05/2024,SMK MUHAMMADIYAH 1 METRO B,MET,a. PS,GTM,DBS,100MBPS,METRO
11,MEI,14/05/2024,YUPITI KARAOKE FAMILY  ,MGA,a. PS,BTO,DBS,50MBPS,METRO
13,MEI,14/05/2024,PRIVAT AL-FAIZ  ,MET,a. PS,GTM,DBS,100MBPS,METRO
1,JANUARI,11/01/2024,QNN RUMDIN WAKIL BUPATI ,KLA,a. PS,KPU,DGS,50 MBPS,INNER
1,JANUARI,02/02/2024,UPT PAJAK KEC KATIBUNG,KLA,a. PS,KPU,DBS,30 MBPS,INNER
