,NO.,BRANCH,STO,WO HI,ALL WO,ON HAND TEKNISI,SURVEY TEKNISI,TARIK DC PROGRESS,TARIK DC COMPLETE,SALPEN OK PENDING PELANGGAN ,POTENSI PS AKTIVASI,COMPLETED (PS),KENDALA PERANGKAT,KENDALA SISTEM,KENDALA RETI/SEKTOR,PENDING PELANGGAN/RNA,KENDALA PT2/TANAM TIANG,KENDALA TEKNIK PT3,CANCEL,KENDALA TEKNISI
,1,INNER LAMPUNG,KDT,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,2,INNER LAMPUNG,LKP,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,INNER LAMPUNG,PJN ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,INNER LAMPUNG,TJK,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,INNER LAMPUNG,TKB,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,KOTABUMI,BDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,KOTABUMI,BKM,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,KOTABUMI,KBI,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,METRO,BDA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,METRO,KLA,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,11,METRO,LAM,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,12,METRO,MET,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,13,METRO,NTR,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,METRO,SPS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,15,METRO,SRW,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,16,METRO,SKD,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,17,METRO,WJA,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,18,PRINGSEWU,GDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,19,PRINGSEWU,KLR,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,20,PRINGSEWU,KOT,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,21,PRINGSEWU,KRU,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,22,PRINGSEWU,LIW,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,23,PRINGSEWU,PRW,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,24,PRINGSEWU,TGP,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,25,UNIT,MGA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,26,UNIT,UNT,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,GRAND TOTAL,,,,,,,,,,,,,,,,,,,
